Nayaki,Nayaki / Nayagi is a 2016 Telugu-Tamil bilingual comedy horror film# directed by Goverdhan Reddy. The film stars Trisha in the lead role# with Ganesh Venkatraman# Satyam Rajesh and Sushma Raj in supporting roles. The film is produced by Giridhar Mamidipally# who was the former manager of Trisha under Giridhar Production House# and has cinematography by Jagadeesh. Both versions of the film opened to negative reviews in mid-2016.,https://upload.wikimedia.org/wikipedia/en/7/74/Nayaki_poster.jpg,September 16# 2016 (2016-09-16),Giridhar Mamidipally,Mali G. (Tamil dialogues)#,Govi,Telugu,Trisha# Ganesh Venkatraman# Satyam Rajesh# Sshma Raj,105,7.4
Pichaikkaran,Pichaikkaran (English: Beggar) is a 2016 Indian Tamil action thriller film directed by Sasi# starring Vijay Antony in the lead role. The film released on 4 March 2016. The Telugu dubbed version was titled as Bichagadu and was released on 13 May 2016.The movie became surprise hit in Andhra and grossed 18crores which is higher than tamilnadu 15crores.,https://upload.wikimedia.org/wikipedia/en/9/98/Pichaikaran.jpg,4 March 2016 (2016-03-04),Fathima Vijay Antony,Sasi,Sasi,Tamil,Vijay Antony# Satna Tits,155,8.2
Jackson Durai,Jackson Durai is a 2016 Tamil horror comedy film witten and directed by Dharani Dharan# starring Sibiraj# Sathyaraj and Bindu Madhavi in the leading roles#while Karunakaran plays an important role. Featuring music composed by Siddharth Vipin and editing by Vivek Harshan# the film released on 1 July 2016.,https://upload.wikimedia.org/wikipedia/en/1/1b/Jackson-Durai-First-Look-Posters-1.jpg,July 1 2016 (2016-07-01),M. S. Sharavanan,Dharani Dharan,Dharani Dharan,Tamil,Sathyaraj# Sibiraj# Bind Madhavi,150,7.4
Nambiyaar,Nambiyaar is a 2016 Tamil language science fiction-comedy film written and directed by Ganeshaa in his directorial debut. It stars comedian Santhanam in the title character# alongside Srikanth and Sunaina in the lead roles. Produced by Srikanth's home production Golden Friday Films# the film is named after the veteran actor M. N. Nambiar who was famous for his villainous roles in yester-year Tamil cinema. Vijay Antony scored the soundtrack and original scores for the film. Despite beginning production during early 2013# the film went through delays before releasing in August 2016.,https://upload.wikimedia.org/wikipedia/en/0/0d/Nambiar_2016_poster.jpg,July 1 2016 (2016-07-01),S. Vandana,Ganeshaa,Ganeshaa,Tamil,Srikanth# Santhanam# Snaina# Delhi Ganesh# Jayaprakash,151,8.7
Thodari,Thodari (English: The Train) is a 2016 Indian Tamil-language romantic thriller film co produced# written and directed by Prabhu Solomon. The film produced by Sathya Jyothi Films stars Dhanush and Keerthy Suresh in the lead roles# while D. Imman composes the film's music. The film was released on 22 September 2016.,https://upload.wikimedia.org/wikipedia/en/a/aa/Thodari_poster.jpg,September 17 2016 (2016-09-17),T. G. Thiyagarajan,Prabhu Solomon,Prabhu Solomon,Tamil,Dhansh# Keerthy Sresh# Thambi Ramaiah# Karnakaran,163,4.9
Kuttrame Thandanai,Kutrame Thandanai (English: The Crime is the Punishment) is a 2016 Tamil language neo-noir crime psychological thriller film cinematograph and directed by M. Manikandan and produced by S. Harihara Naganathan# S. Muthu# S. Kaleeswaran under Don Production co prodcued with Tribal Art Productions.
This film starring Vidharth# Aishwarya Rajesh and Pooja Devariya in the leading roles. Supporting role played by Rahman# Nassar# Guru Somasundaram# G. Marimuthu and Yogi Babu Played guest appearances.
This film written by M. Manikandan and Anand Annamalai# music score by Ilaiyaraaja(without songs)# edited done by Anucharan(Kirumi fame director and editor)# production designed by Balasubramanian and Vijay Aadhinathan.
The film follows the story of a man with tunnel vision# who is slowly going blind and cannot afford the surgery to fix his eyes. When he witnesses a young woman's murder# the suspects offer him large sums of money to remain quiet and he inadvertently gets stuck in between two parties. The film released on 2 September 2016 to positive reviews# following several screenings at film festivals worldwide.,https://upload.wikimedia.org/wikipedia/en/1/1f/Kuttrame_Thandanai_poster.jpg,September 10 2016 (2016-09-10),S. Harihara Naganathan,M. Manikandan,M. Manikandan,Tamil,Vidharth# Aishwarya Rajesh# Pooja Devariya# Rahman,154,8.7
Uchathula Shiva,Uchathula Shiva (English: Shiva on the rise) is a 2016 Tamil action film directed by Jaypee# starring Karan and Neha Ratnakaran in the leading roles. Featuring music composed by VidyaSagar# the film is produced by Karan's wife# Devi Karan and marks the actor's first home production. The film had a theatrical release on 16 September 2016.,http://www.flimnews.com/wp-content/uploads/2015/09/tamil-movie-uchathula-shiva-poster.jpg,September 03 2016 (2016-09-03),Devi Karan,-,Jaypee,Tamil,Karan# Neha Ratnakaran,111,6.5
Yennai Arindhaal,Yennai Arindhaal (English: If You Know Me) is a 2015 Indian Tamil crime-drama film co-written and directed by Gautham Menon# and produced by A. M. Rathnam. The film stars Ajith Kumar# Trisha Krishnan# Anushka Shetty# Arun Vijay# Parvathy Nair and Vivek. The soundtrack album and background score for the film was composed by Harris Jayaraj. The film was edited by Anthony while Dan Macarthur handled the cinematography. Yennai Arindhaal's story follows the journey of man named Sathyadev# from the age of 13 till the age of 38. It is also the final film of Menon's police trilogy of films that began with Kaakha Kaakha (2003) and continued with Vettaiyaadu Vilaiyaadu (2006). The film was released on 5 February 2015.,https://upload.wikimedia.org/wikipedia/en/4/4d/Yennai_Arindhaal.jpg,5 February 2015 (2015-02-05),A. M. Rathnam,Gautham Vasudev Menon ,Gautham Vasudev Menon,Tamil,Ajith Kmar# Arn Vijay# Trisha Krishnan# Anshka Shetty# Parvathy Nair,166,9.5
Thani Oruvan,Thani Oruvan (English: The Lone One) is a 2015 Indian Tamil-language action thriller film directed by Mohan Raja and written by Subha. The film# produced by Kalpathi S. Aghoram# Kalpathi S. Ganesh and Kalpathi S. Suresh under the production company AGS Entertainment# stars Jayam Ravi and Nayanthara. The plot revolves around IPS Officer Mithran who wants to arrest Siddharth Abhimanyu# an affluential scientist who uses hidden illegal medical practices for profit.
The soundtrack was composed by Hiphop Tamizha. The cinematography and editing was handled by Ramji and Gopikrishna respectively. The film was released on 28 August 2015. The film is being remade in Telugu as Dhruva (2016).,https://upload.wikimedia.org/wikipedia/en/f/f1/Thani_Oruvan.jpg,28 August 2015 (2015-08-28),Kalpathi S. Aghoram,Mohan Raja,Mohan Raja,Tamil,Jayam Ravi# Nayantara# Arvind Swamy,200,7.4
Kanchana 2,Kanchana 2 (marketed as Muni 3: Kanchana 2) is a 2015 Tamil horror comedy film produced# written and directed by Raghava Lawrence# who enacted dual roles in it. It is the third installment in the Muni series after Muni 2: Kanchana. The film# also featuring Taapsee Pannu# Nithya Menen and Kovai Sarala in lead roles# released worldwide on 17 April 2015. The Telugu version Ganga was released on 1 May 2015. The film is being remade in Kannada as Kalpana 2 and is due for release in June 2016.,https://upload.wikimedia.org/wikipedia/en/0/06/Muni_3_kanchana_2.jpg,21 August 2015 (2015-08-21),Raghava Lawrence,Raghava Lawrence,Raghava Lawrence,Tamil,Raghava Lawrence# Taapsee Pann# Nithya Menen# Kovai Sarala,104,7.8
Uttama Villain,Uttama Villain (English: The Righteous Villain) is a 2015 Indian Tamil drama-metafilm directed by Ramesh Aravind and written by Kamal Haasan. The film was presented by N. Lingusamy in association with Kamal Haasan and produced by S. Chandrahasan for Raaj Kamal Films International and N. Subash Chandrabose for Thirupathi Brothers Film Media. It features an ensemble cast that includes Kamal Hassan# K. Viswanath# K. Balachander# Jayaram# Andrea Jeremiah# Pooja Kumar# Nassar# Parvathy and Urvashi. Ghibran composed the soundtrack and score.
Principal photography commenced on 3 March 2014. Uttama Villain was released on 2 May 2015 after disputes between producers and financers. The film received positive reviews# but didn't become a big success at box office.,https://upload.wikimedia.org/wikipedia/en/7/7f/Uthama_Villain.jpg,2 May 2015 (2015-05-02),N. Lingusamy,Kamal Haasan,Ramesh Aravind,Tamil,Kamal Haasan# K. Balachander# K. Viswanath# Urvashi# Jayaram# Andrea Jeremiah# Pooja Kmar# Parvathy# Nassar,181,9.9
O Kadhal Kanmani,O Kadhal Kanmani (English: Oh Love# Apple of my Eye)# also known as OK Kanmani# is a 2015 Indian Tamil romantic drama film written# directed and produced by Mani Ratnam. The film stars Dulquer Salmaan and Nithya Menen in the lead roles# portraying a young couple in a live-in relationship in Mumbai. Prakash Raj and Leela Samson play supporting roles as an older couple in the film# portraying the younger couple's landlords. The film was said to be a reflection of the modern mindset of urban India# dealing with issues such as marriage and traditional values.
The film featured music composed by A. R. Rahman# cinematography by P. C. Sreeram and editing by Sreekar Prasad. Prior to the film's release# the soundtrack was well received and the promotional activity of the film on social media# also garnered praise. O Kadhal Kanmani was released on 17 April 2015# along with its dubbed Telugu version OK Bangaram# and won positive reviews from critics# praising the lead pair's performances and the quality of the film's technical aspects. The film went on to become a financial success at the box office# performing extremely well in multiplexes in India and overseas.,https://upload.wikimedia.org/wikipedia/en/8/80/Okay_Kanmani_film_poster.jpg,17 April 2015 (2015-04-17),Mani Ratnam,Mani Ratnam,Mani Ratnam,Tamil,Dlqer Salmaan# Nithya Menen# Prakash Raj# Leela Samson,157,7
Naanum Rowdy Dhaan,Naanum Rowdy Dhaan (English: I am a Rowdy# too) is a 2015 Indian Tamil-language black comedy film written and directed by Vignesh Shivan. Vijay Sethupathi and Nayanthara are in the lead roles. Produced by actor Dhanush under his banner Wunderbar Films# the film features music composed by Anirudh Ravichander. The film was shot in Puducherry and Chennai over 75 days. It was released on 21 October 2015. receiving positive reviews from critics and became a profitable venture at the box office. The film was dubbed into Telugu as Nennu Rowdy Ne.,https://upload.wikimedia.org/wikipedia/en/3/39/Naanum_Rowdy_Dhaan_poster.jpg,21 October 2015 (2015-10-21),Dhanush,Vignesh Shivan,Vignesh Shivan,Tamil,Vijay Sethpathi# Nayantara# Parthiban# Raadhika# RJ Balaji,159,7.8
Vaaimai,Vaaimai is a 2016 Indian Tamil language courtroom drama film written and directed by A. Senthil Kumar. Inspired by the script of Reginald Rose's Twelve Angry Men (1954)# the film features Shanthnu Bhagyaraj and Muktha Bhanu in the lead roles amongst an ensemble cast. Goundamani# Thyagarajan# Ramki# Urvashi# Manoj K. Bharathi# Prithvi Pandiarajan and Poornima Bhagyaraj are also part of the cast. Though production had begun in 2013# the film released following a production delay on 8 September 2016# garnering negative reviews.,https://upload.wikimedia.org/wikipedia/en/f/f8/Vaaimai.jpg,21 October 2015 (2015-10-21),S. Mani,A. Senthil Kumar,A. Senthil Kumar,Tamil,Shanthan Bhagyaraj# Ramki# Gondamani# Thiagarajan# Mktha# Manoj K. Bharathi# Urvashi# Prithvi Pandiarajan# Poornima Bhagyaraj,116,9.2
Anegan,Anegan (English: Multiple Single Person) is a 2015 Indian Tamil romantic thriller film directed by K. V. Anand. The film stars Dhanush# Amyra Dastur and Karthik# with Ashish Vidyarthi# Aishwarya Devan and Jagan in supporting roles. Produced by AGS Entertainment# the film features music composed by Harris Jayaraj# cinematography by Om Prakash and editing by Anthony. The visual effects were handled by V. Srinivas Mohan. The film was released on 13 February 2015# along with its Telugu dubbed version titled Anekudu.
Principal photography commenced on 2 September 2013 at Puducherry. Filming continued in Vietnam# Cambodia# Malaysia and Burma and was completed on 15 September 2014.,https://upload.wikimedia.org/wikipedia/en/8/82/Anegan_Poster.jpg,13 February 2015 (2015-02-13),Kalpathi S Aghoram,Subha,K. V. Anand,Tamil,Dhansh# Karthik# Amyra Dastr# Aishwarya Devan# Jagan# Ashish Vidyarthi,200,6.6
Massu Engira Masilamani,Massu Engira Masilamani (English: Masilamani alias Mass)# also known by its former title Masss# is a 2015 Indian Tamil-language comedy horror film directed by Venkat Prabhu. and produced by K. E. Gnanavel Raja under his then-newly formed studio Aadnah Arts# it features an ensemble cast including Suriya# Nayantara# Parthiban# Samuthirakani# Premgi Amaren and Pranitha Subhash. Yuvan Shankar Raja composed the music and cinematography was handled by R. D. Rajasekhar. The film was released worldwide on 29 May 2015. A Telugu dubbed version# titled Rakshasudu# was released simultaneously in Andhra Pradesh and Telangana.,https://upload.wikimedia.org/wikipedia/en/9/9e/Masss_Film_Poster.jpg,29 May 2015 (2015-05-29),K. E. Gnanavel Raja,Venkat Prabhu,Venkat Prabhu,Tamil,Sriya# Nayantara# Premgi Amaren# Pranitha Sbhash# Riyaz Khan# Parthiban# Samthirakani# Jayaprakash# Aravind Akash,170,4.3
Goli Soda,Banta also known as Fotash Jawl in Bengali# Goli Soda (Goli = spherical object in Hindi) or Goti Soda (Goti = marble in Hindi) is a colloquial term for a carbonated lemon or orange-flavoured soft drink popular in India. Though the origin of its name isn't clear# Banta has been sold since the late 18th century# long before popular carbonated drinks arrived. The drink is often sold mixed with lemon juice# crushed ice# chaat masala and kala namak (black salt) as a carbonated variant of popular lemonades shikanjvi or jal-jeera. It is available at street-sellers known as bantawallahs at prices ranging from ?5 (7.4¢ US) - ?30 (45¢ US).
Similar to Ramune# a Japanese lemon drink# Banta is popular across North India and especially the capital Delhi. In fact# it is known as Delhi’s local drink# nimbu (lemon) soda or kanchay waali drink (kancha = marble in Hindi)# especially in Old Delhi and the Delhi University college campuses. In South India it is known as Goli Soda# due to the goli (marble) in neck of the bottle. The states of Tamil Nadu and Andhra Pradesh have a local variant known as panneer soda that is flavoured with rose essence.,https://upload.wikimedia.org/wikipedia/en/7/7e/Goli_Soda_Poster.jpg,24 January 2014 (2014-01-24),N. Linguswamy,Pandiraj,Vijay Milton,Tamil,Kishore# Sree Raam# Pandi# Mrgesh# Chandini,190,6.9
Kaththi,Kaththi (English: The Knife) is a 2014 Indian Tamil action drama film written and directed by AR Murugadoss. The film stars Vijay in dual roles while Samantha Ruth Prabhu# Neil Nitin Mukesh# Tota Roy Chowdhury and Sathish play supporting roles. Anirudh Ravichander composed the film's soundtrack and score. Cinematography was done by George C. Williams and the film was edited by A. Sreekar Prasad. Lyca Productions and Ayngaran International bankrolled the venture and Eros International purchased the theatrical and audio rights for the film. The story revolves around the tale of Kathiresan and Jeevanantham who are lookalikes and focuses on the issue of farmers committing suicide due to corporate encroachment. The film# which commenced filming in January 2014 in Kolkata# was released on 22 October 2014 worldwide# coinciding with the festival of Deepavali. Upon release# the film opened to mostly positive reviews from critics and was the highest grossing Tamil film of 2014.,https://upload.wikimedia.org/wikipedia/en/9/90/Kaththi_poster.jpg,22 October 2014 (2014-10-22),K. Karunamoorthi,AR Murugadoss,AR Murugadoss,Tamil,Vijay# Samantha Rth Prabh# Neil Nitin Mkesh# Tota Roy Chowdhry# Sathish,156,6.6
Jigarthanda,Jigarthanda (English: Cold Heart) is a 2014 Indian Tamil black comedy-musical gangster film written and directed by Karthik Subbaraj. Produced by Kathiresan's Group Company# it features Siddharth# Bobby Simha and Lakshmi Menon in the lead# while the supporting cast includes Nassar# Ambika# Karunakaran and Sangili Murugan. Gavemic U Ary was the film's cinematographer# making his debut in Tamil cinema# and Vivek Harshan was the film's editor. Santhosh Narayanan composed the songs and background score. The film was produced under Kathiresan's production banner# Group company. It also won two National Film Awards for Best Supporting Actor (Bobby Simha) and Best Editing (Vivek Harshan).
The plot revolves around Karthik (Siddharth)# an assistant director who is thrown out of a reality new filmmakers show# as his short film was disappointing. Heartbroken# Karthik has the support of one of the judges (Aadukalam Naren) who believes he has the stuff to be a great director and is willing to back him if he does a script on a real life gangster.,https://upload.wikimedia.org/wikipedia/en/5/53/Jigarthanda_poster.jpg,1 August 2014 (2014-08-01),Kathiresan,Karthik Subbaraj,Karthik Subbaraj,Tamil,Siddharth# Bobby Simha# Lakshmi Menon# Karnakaran# Gr Somasndaram# Sondararaja# Aadkalam Naren# Vinodhini Vaidyanathan,147,7.9
Velaiilla Pattadhari,Velaiilla Pattadhari (English: Unemployed Graduate)# popularly referred to as VIP# is a 2014 Indian Tamil-language masala film written# directed and filmed by Velraj# in his directorial debut. The film features Dhanush# Amala Paul in the lead roles# while Vivek# Saranya Ponvannan# Samuthirakani and Surabhi play supporting roles.
