Adrien Brody,Adrien Brody (born April 14  1973) is an American actor. He received widespread recognition and acclaim after starring in Roman Polanski's The Pianist (2002)  for which he won the Academy Award for Best Actor at age 29  making him the youngest actor to win in that category. Brody is also the only male American actor to receive the French César Award.,https://upload.wikimedia.org/wikipedia/commons/9/97/Adrien_Brody_Cannes_2014.jpg,, 1973-04-14 
Adam Sandler,"Adam Richard Sandler (born September 9  1966) is an American actor  comedian  screenwriter  film producer  and musician. After becoming a Saturday Night Live cast member  Sandler went on to star in many Hollywood feature films that combined have grossed over $2 billion at the box office. He is best known for his comedic roles  such as in the films Billy Madison (1995)  the sports comedies Happy Gilmore (1996) and The Waterboy (1998)  the romantic comedy The Wedding Singer (1998)  Big Daddy (1999)  and Mr. Deeds (2002)  and voicing Dracula in Hotel Transylvania (2012) and Hotel Transylvania 2 (2015). He has ventured into more dramatic territory with his roles in Punch-Drunk Love (2002)  Spanglish (2004)  Reign Over Me (2007)  and Funny People (2009).
Sandler has released five comedy albums in his career. They're All Gonna Laugh at You! (1993) and What the Hell Happened to Me?",https://upload.wikimedia.org/wikipedia/commons/a/a5/Adam_Sandler_2011_%28Cropped%29.jpg,, 1966-09-09 
Adam Driver,"Adam Douglas Driver (born November 19  1983) is an American actor and fashion model. He made his Broadway debut in Mrs. Warren's Profession (2010). He returned to Broadway in the 2011 production of Man and Boy and made his feature film debut in J. Edgar (2011). Driver appeared in supporting roles in a wide range of films  including Lincoln (2012)  Frances Ha (2012) and Inside Llewyn Davis (2013). In 2014  Driver starred in While We're Young and won the Volpi Cup for his role in Hungry Hearts (2014).
Driver gained worldwide attention and acclaim for playing the villain Kylo Ren in Star Wars: The Force Awakens (2015)  a role which he is set to reprise in the future Star Wars films. For his supporting part as Adam Sackler in the HBO comedy-drama series Girls  Driver has received three consecutive nominations for Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Adam_Driver_by_Gage_Skidmore.jpg,, 1983-11-19 
Abigail Breslin,Abigail Kathleen Breslin (born April 14  1996) is an American actress and singer. She appeared in her first commercial when she was three years old  and in her first film  Signs (2002)  at the age of five. Her other film roles include Little Miss Sunshine (2006)  for which she was nominated for the Academy Award for Best Supporting Actress  No Reservations (2007)  Nim's Island (2008)  Definitely  Maybe (2008)  My Sister's Keeper (2009)  Zombieland (2009)  and Rango (2011). In September 2015  she began acting in the horror-comedy Scream Queens on Fox  in which she has her first regular role on a television series.,https://upload.wikimedia.org/wikipedia/commons/1/1b/Abigail_Breslin_by_Gage_Skidmore.jpg,, 1996-04-14 
Albert Finney,"Albert Finney (born 9 May 1936) is an English actor. Beginning in the theatre  Finney was especially successful in plays by William Shakespeare before he switched to films. He achieved prominence in films in the early 1960s  his debut being The Entertainer  directed by Tony Richardson  who had directed him in theatre plays various times before. He became a leading Free Cinema figure  and has maintained a successful career in theatre  film and television. He is known for his roles in Saturday Night and Sunday Morning (1960)  Tom Jones (1963)  Scrooge (1970)  Annie (1982)  The Dresser (1983)  Miller's Crossing (1990)  Big Fish (2003)  The Bourne Ultimatum (2007)  Before the Devil Knows You're Dead (2007)  The Bourne Legacy (2012)  and the James Bond film Skyfall (2012).
A recipient of BAFTA  Golden Globe  Emmy and Screen Actors Guild Awards  Finney has been nominated for the Academy Award for Best Actor four times  for Tom Jones (1963)  Murder on the Orient Express (1974)  The Dresser (1983)  and Under the Volcano (1984); and was nominated for an Academy Award for Best Supporting Actor for his performance in Erin Brockovich (2000).",https://upload.wikimedia.org/wikipedia/commons/0/0a/Albert_Finney_1966.jpg,, 1936-05-09 
Alec Baldwin,"Alexander Rae \"Alec\" Baldwin III (born April 3  1958) is an American actor  producer and comedian. A member of the Baldwin family  he is the oldest of the four Baldwin brothers  all actors.
Baldwin first gained recognition appearing on seasons 6 and 7 of the CBS television drama Knots Landing  in the role of Joshua Rush. He has since played both leading and supporting roles in films such as the horror comedy fantasy film Beetlejuice (1988)  as Jack Ryan in the action thriller The Hunt for Red October (1990)  the romantic comedy The Marrying Man (1991)  the superhero film The Shadow (1994)  and two films directed by Martin Scorsese: the Howard Hughes biopic The Aviator (2004) and the neo-noir crime drama The Departed (2006). His performance in the 2003 romantic drama The Cooler garnered him a nomination for the Academy Award for Best Supporting Actor.
From 2006 to 2013  Baldwin starred as Jack Donaghy on the NBC sitcom 30 Rock  winning two Emmy Awards  three Golden Globe Awards  and seven Screen Actors Guild Awards for his work on the show  making him the male performer with the most SAG Awards. Baldwin co-starred in Mission: Impossible – Rogue Nation  the fifth installment of the Mission: Impossible series  released on July 31  2015. He is also a columnist for The Huffington Post.",https://upload.wikimedia.org/wikipedia/commons/7/71/Alec_Baldwin_by_Gage_Skidmore.jpg,, 1958-04-03 
Alec Ginness,"Sir Alec Guinness CH CBE (2 April 1914 – 5 August 2000) was an English actor. After an early career on the stage  he was featured in several of the Ealing Comedies  including The Ladykillers and Kind Hearts and Coronets in which he played eight different characters. He is also known for his six collaborations with David Lean: Herbert Pocket in Great Expectations (1946)  Fagin in Oliver Twist (1948)  Col. Nicholson in The Bridge on the River Kwai (1957  for which he won the Academy Award for Best Actor)  Prince Faisal in Lawrence of Arabia (1962)  General Yevgraf Zhivago in Doctor Zhivago (1965)  and Professor Godbole in A Passage to India (1984). He is also known for his portrayal of Obi-Wan Kenobi in George Lucas's original Star Wars trilogy  receiving a nomination for an Academy Award for Best Supporting Actor.
Guinness was one of three major British actors  along with Laurence Olivier and John Gielgud  who successfully made the transition from Shakespearean theatre in their home country to Hollywood blockbusters immediately after the Second World War. He also won a BAFTA Award  Golden Globe  and a Tony Award  as well as an Academy Award. In 1959  he was knighted by Elizabeth II for services to the arts.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Sir_Alec_Guinness_Allan_Warren.jpg,, 1914-04-02 
Alison Brie,Alison Brie (born Alison Brie Schermerhorn; December 29  1982) is an American actress. She portrayed Annie Edison in the NBC and Yahoo! sitcom Community  Trudy Campbell in the AMC drama Mad Men  and the voice of Diane Nguyen on the Netflix animated series BoJack Horseman. She has starred in several films  such as Scream 4 (2011)  The Five-Year Engagement (2012)  The Lego Movie (2014)  Get Hard (2015)  Sleeping with Other People (2015) and How to Be Single (2016).,https://upload.wikimedia.org/wikipedia/commons/2/29/Alison_Brie_by_Gage_Skidmore_2.jpg,, 1982-12-29 
Alyson Hannigan,Alyson Lee Hannigan (born March 24  1974) is an American actress. She is best known for her roles as Lily Aldrin on the CBS sitcom How I Met Your Mother (2005–2014)  Willow Rosenberg in the television series Buffy the Vampire Slayer (1997–2003)  and Michelle Flaherty in the American Pie film series (1999–2012).,https://upload.wikimedia.org/wikipedia/commons/e/e7/Alyson_Hannigan_May_2015.jpg,Santa Monica  California, 1974-03-24 
Amanda Seyfried,"Amanda Michelle Seyfried (/?sa?fr?d/ SY-fred; born December 3  1985) is an American actress  model  and singer. She began her career as a model when she was 11  then her acting career at 15 with recurring parts on the soap operas As the World Turns and All My Children.
In 2004  Seyfried made her film debut in the teen comedy Mean Girls. Her subsequent supporting roles were in independent films  such as the drama Nine Lives (2005) and the crime drama Alpha Dog (2006)  she also had a recurring role in the UPN drama show Veronica Mars (2004–06). Between 2006 and 2011  she starred on the HBO drama series Big Love and appeared in the 2008 musical feature film Mamma Mia!.
Her other appearances include leading roles in the black comedy horror film Jennifer's Body (2009)  as a call girl in the erotic thriller Chloe (2009)  the romantic drama-war film Dear John (2010)  and the romantic drama Letters to Juliet (2010). She also stars in the dark fantasy historical romance Red Riding Hood (2011)  the dystopian sci-fi thriller In Time (2011)  the thriller Gone (2012)  the musical drama film Les Misérables (2012)  the biographical drama Lovelace (2013)  and in the comedies A Million Ways to Die in the West (2014) and Ted 2 (2015).",https://upload.wikimedia.org/wikipedia/commons/e/ec/Amanda_Seyfried-crop.jpg,, 1985-12-03 
Amy Ryan,"Amy Ryan (born May 3  1969) is an American actress of stage and screen. A graduate of New York's High School of Performing Arts  she is an Academy Award nominee and two-time Tony Award nominee.
Ryan began her professional stage career in 1987 and made her Broadway debut in 1993 as a replacement in the original production of The Sisters Rosensweig. She went on to receive Tony Award nominations for Best Featured Actress in a Play for the 2000 revival of Uncle Vanya and the 2005 revival of A Streetcar Named Desire. She was nominated for an Academy Award for Best Supporting Actress for her performance as Helene McCready in the 2007 film Gone Baby Gone. The role also earned her a Golden Globe nomination and won her a Critics' Choice Award. Her other films include Changeling (2008)  Win Win (2011) and Birdman (2014). On television  she played Beadie Russell in HBO's The Wire (2002–08)  Holly Flax in NBC's The Office (2008–11) and Adele Brousse in HBO's In Treatment (2010).",https://upload.wikimedia.org/wikipedia/commons/a/a6/Amy_Ryan_Gersh_NY_Official_1.31.13.jpg,, 1969-05-03 
Anatole Tabman,Anatole Taubman (born 23 December 1970) is a Swiss actor  who has appeared in many films  such as a henchman in the James Bond movie Quantum of Solace  Stanislav Turgin in the film The Transporter: Refueled  and as the monk Remigius in the TV miniseries The Pillars of the Earth  but also in Swiss productions as Marmorera (2007). In 2012  he played also a bigger role in Fünf Freunde an adaptation of one of the famous books of Enid Blyton's Famous Five. He made an appearance as a Jewish prisoner in the TV miniseries Band of Brothers  as well in the Swiss-Austrian feature film Akte Grüninger in 2013. Taubmann is the executive producer of the movie She's Funny That Way  with Jennifer Aniston and Owen Wilson. In 2017  he will appear in the Netflix German language series Dark.,https://upload.wikimedia.org/wikipedia/commons/0/03/Anatole_Taubman_%28Berlinale_2012%29.jpg,, 1970-12-23 
Andrew Garfield,"Andrew Russell Garfield (born 20 August 1983) is an American-British actor. Born in Los Angeles  California and raised in Epsom  Surrey  Garfield began his career on the UK stage and in television productions. He made his feature-film debut in the 2007 ensemble drama Lions for Lambs. Garfield first came to international attention in 2010 with supporting roles in the drama films The Social Network  for which he received Golden Globe and BAFTA nominations for his portrayal of Eduardo Saverin  and Never Let Me Go  for which he received a Saturn Award and another BAFTA nomination.
Garfield subsequently received praise for his performance as the title character in the 2012 superhero film The Amazing Spider-Man. He has also performed on stage  and played Biff in the 2012 Broadway revival of Arthur Miller's Death of a Salesman  co-starring Philip Seymour Hoffman. Garfield's performance earned him a Tony Award nomination for Best Featured Actor in a Play. In 2014  he co-produced and starred in the thriller 99 Homes.",https://upload.wikimedia.org/wikipedia/commons/d/d7/Andrew_Garfield_by_Gage_Skidmore.jpg,, 1983-08-20 
